Actual test,Predicted_value
127,112.8372921
143,110.642144
70,121.5779727
203,126.327475
21,126.2875632
30,105.2540532
106,106.6908774
133,118.025824
21,130.0791826
100,113.2763217
155,115.8705877
122,118.025824
172,103.458023
74,117.6666179
48,122.0968259
796,134.9085084
826,125.4893275
47,116.8683822
70,129.7998001
78,115.8705877
6,115.3118227
61,112.1987036
16,107.1299071
5,108.4469959
658,137.5027743
36,128.2432406
140,109.3649669
9,106.3316714
18,133.3120371
139,117.6267061
1,129.7199766
92,106.411495
40,118.8639714
39,115.7508523
74,113.4758806
6,125.2897686
1,123.0547087
1,114.9127049
116,131.5958304
44,124.7709154
190,97.35152009
4,113.7153513
58,109.165408
5,117.3473237
59,114.5534988
73,110.3228497
5,122.8551498
119,102.2207577
14,115.4714698
171,105.4536122
64,113.4758806
3,117.3074119
42,106.411495
75,119.303001
2,123.8928562
102,113.954822
30,113.595616
135,131.0370654
79,109.4847023
57,108.7263784
98,112.9969392
105,107.8882309
57,106.5711421
71,132.6335368
124,114.3539399
163,121.1788549
27,122.2963848
117,116.7087351
20,118.9837068
15,111.9193211
84,109.6443494
88,119.5424717
21,125.1301214
70,101.8615516
76,113.1166746
183,118.2652947
190,107.6487602
342,85.05869075
5,117.107853
1001,130.7975947
205,111.9592329
79,109.0855845
118,108.8860255
47,131.2765361
184,115.1122638
67,122.2963848
208,113.8350867
30,121.338502
457,88.45119236
63,113.036851
987,130.9572418
141,108.2873488
15,129.9594473
209,115.9104994
120,112.1587918
128,112.4780861
153,107.1698188
95,126.0480925
44,106.2518478
56,115.7907641
100,110.8417029
21,110.282938
102,106.5711421
6,108.6864666
10,119.4626482
99,100.3049921
14,112.0789682
53,123.4538265
173,131.0769772
2,116.6688233
2,121.2985902
189,108.7662902
17,108.0079663
62,131.6756539
8,111.8794093
99,107.0101717
85,113.8749985
4,108.1277017
100,123.8529444
11,112.8372921
43,115.2319991
188,120.1012367
94,110.0035555
74,103.2584641
88,116.7087351
2,116.549088
176,127.5647402
21,108.1676134
55,121.0990313
104,120.1810603
10,114.2741163
7,114.9925284
796,129.7199766
161,109.5246141
2,117.9060886
15,108.1277017
80,104.0167879
90,122.0170023
6,110.083379
16,103.6176701
27,110.282938
72,114.9526166
92,101.1431395
52,106.1720243
128,112.5179978
63,119.2630893
37,121.8573552
23,134.2300081
4,109.6842612
338,101.7817281
4,112.4381743
89,114.1144692
135,118.2253829
19,112.3184389
16,122.3362966
159,117.9060886
57,120.779737
176,102.2606695
12,114.9925284
171,111.1609972
36,116.1898819
38,121.4582374
94,111.4004679
460,88.45119236
4,117.107853
